timestamp,selected_phase,green_duration,reason,decision_latency_seconds,scenario,controller
98,north,3,fixed_timer,1.8e-05,normal,fixed_timer
99,north,3,fixed_timer,1.8e-05,normal,fixed_timer
100,north,3,fixed_timer,1.8e-05,normal,fixed_timer
101,north,3,fixed_timer,1.8e-05,normal,fixed_timer
102,north,3,fixed_timer,1.8e-05,normal,fixed_timer
103,north,3,fixed_timer,1.8e-05,normal,fixed_timer
104,east,3,fixed_timer,1.8e-05,normal,fixed_timer
105,east,3,fixed_timer,1.8e-05,normal,fixed_timer
106,east,3,fixed_timer,1.8e-05,normal,fixed_timer
107,east,3,fixed_timer,1.8e-05,normal,fixed_timer
108,east,3,fixed_timer,1.8e-05,normal,fixed_timer
109,east,3,fixed_timer,1.8e-05,normal,fixed_timer
110,east,3,fixed_timer,1.8e-05,normal,fixed_timer
111,east,3,fixed_timer,1.8e-05,normal,fixed_timer
112,south,3,fixed_timer,1.8e-05,normal,fixed_timer
113,south,3,fixed_timer,1.8e-05,normal,fixed_timer
114,south,3,fixed_timer,1.8e-05,normal,fixed_timer
115,south,3,fixed_timer,1.8e-05,normal,fixed_timer
116,south,3,fixed_timer,1.8e-05,normal,fixed_timer
117,south,3,fixed_timer,1.8e-05,normal,fixed_timer
118,south,3,fixed_timer,1.8e-05,normal,fixed_timer
119,south,3,fixed_timer,1.8e-05,normal,fixed_timer
0,north,3,fixed_timer,2e-05,peak,fixed_timer
1,north,3,fixed_timer,7e-06,peak,fixed_timer
2,north,3,fixed_timer,6e-06,peak,fixed_timer
3,north,3,fixed_timer,6e-06,peak,fixed_timer
4,north,3,fixed_timer,5e-06,peak,fixed_timer
5,north,3,fixed_timer,6e-06,peak,fixed_timer
6,north,3,fixed_timer,6e-06,peak,fixed_timer
7,north,3,fixed_timer,5e-06,peak,fixed_timer
8,east,3,fixed_timer,6e-06,peak,fixed_timer
9,east,3,fixed_timer,6e-06,peak,fixed_timer
10,east,3,fixed_timer,5e-06,peak,fixed_timer
11,east,3,fixed_timer,6e-06,peak,fixed_timer
12,east,3,fixed_timer,5e-06,peak,fixed_timer
13,east,3,fixed_timer,5e-06,peak,fixed_timer
14,east,3,fixed_timer,6e-06,peak,fixed_timer
15,east,3,fixed_timer,5e-06,peak,fixed_timer
16,south,3,fixed_timer,5e-06,peak,fixed_timer
17,south,3,fixed_timer,5e-06,peak,fixed_timer
18,south,3,fixed_timer,5e-06,peak,fixed_timer
19,south,3,fixed_timer,5e-06,peak,fixed_timer
20,south,3,fixed_timer,5e-06,peak,fixed_timer
21,south,3,fixed_timer,5e-06,peak,fixed_timer
22,south,3,fixed_timer,6e-06,peak,fixed_timer
23,south,3,fixed_timer,5e-06,peak,fixed_timer
24,west,3,fixed_timer,5e-06,peak,fixed_timer
25,west,3,fixed_timer,6e-06,peak,fixed_timer
26,west,3,fixed_timer,5e-06,peak,fixed_timer
27,west,3,fixed_timer,5e-06,peak,fixed_timer
28,west,3,fixed_timer,5e-06,peak,fixed_timer
29,west,3,fixed_timer,5e-06,peak,fixed_timer
30,west,3,fixed_timer,5e-06,peak,fixed_timer
31,west,3,fixed_timer,5e-06,peak,fixed_timer
32,north,3,fixed_timer,6e-06,peak,fixed_timer
33,north,3,fixed_timer,6e-06,peak,fixed_timer
34,north,3,fixed_timer,5e-06,peak,fixed_timer
35,north,3,fixed_timer,5e-06,peak,fixed_timer
36,north,3,fixed_timer,5e-06,peak,fixed_timer
37,north,3,fixed_timer,5e-06,peak,fixed_timer
38,north,3,fixed_timer,5e-06,peak,fixed_timer
39,north,3,fixed_timer,5e-06,peak,fixed_timer
40,east,3,fixed_timer,5e-06,peak,fixed_timer
41,east,3,fixed_timer,5e-06,peak,fixed_timer
42,east,3,fixed_timer,6e-06,peak,fixed_timer
43,east,3,fixed_timer,5e-06,peak,fixed_timer
44,east,3,fixed_timer,5e-06,peak,fixed_timer
45,east,3,fixed_timer,5e-06,peak,fixed_timer
46,east,3,fixed_timer,6e-06,peak,fixed_timer
47,east,3,fixed_timer,5e-06,peak,fixed_timer
48,south,3,fixed_timer,5e-06,peak,fixed_timer
49,south,3,fixed_timer,5e-06,peak,fixed_timer
50,south,3,fixed_timer,6e-06,peak,fixed_timer
51,south,3,fixed_timer,6e-06,peak,fixed_timer
52,south,3,fixed_timer,5e-06,peak,fixed_timer
53,south,3,fixed_timer,5e-06,peak,fixed_timer
54,south,3,fixed_timer,6e-06,peak,fixed_timer
55,south,3,fixed_timer,5e-06,peak,fixed_timer
56,west,3,fixed_timer,5e-06,peak,fixed_timer
57,west,3,fixed_timer,5e-06,peak,fixed_timer
58,west,3,fixed_timer,5e-06,peak,fixed_timer
59,west,3,fixed_timer,5e-06,peak,fixed_timer
60,west,3,fixed_timer,5e-06,peak,fixed_timer
61,west,3,fixed_timer,5e-06,peak,fixed_timer
62,west,3,fixed_timer,5e-06,peak,fixed_timer
63,west,3,fixed_timer,5e-06,peak,fixed_timer
64,north,3,fixed_timer,5e-06,peak,fixed_timer
65,north,3,fixed_timer,5e-06,peak,fixed_timer
66,north,3,fixed_timer,5e-06,peak,fixed_timer
67,north,3,fixed_timer,6e-06,peak,fixed_timer
68,north,3,fixed_timer,6e-06,peak,fixed_timer
69,north,3,fixed_timer,5e-06,peak,fixed_timer
70,north,3,fixed_timer,6e-06,peak,fixed_timer
71,north,3,fixed_timer,6e-06,peak,fixed_timer
72,east,3,fixed_timer,5e-06,peak,fixed_timer
73,east,3,fixed_timer,5e-06,peak,fixed_timer
74,east,3,fixed_timer,5e-06,peak,fixed_timer
75,east,3,fixed_timer,5e-06,peak,fixed_timer
76,east,3,fixed_timer,5e-06,peak,fixed_timer
77,east,3,fixed_timer,5e-06,peak,fixed_timer
78,east,3,fixed_timer,5e-06,peak,fixed_timer
79,east,3,fixed_timer,5e-06,peak,fixed_timer
80,south,3,fixed_timer,5e-06,peak,fixed_timer
81,south,3,fixed_timer,6e-06,peak,fixed_timer
82,south,3,fixed_timer,6e-06,peak,fixed_timer
83,south,3,fixed_timer,6e-06,peak,fixed_timer
84,south,3,fixed_timer,5e-06,peak,fixed_timer
85,south,3,fixed_timer,5e-06,peak,fixed_timer
86,south,3,fixed_timer,5e-06,peak,fixed_timer
87,south,3,fixed_timer,5e-06,peak,fixed_timer
88,west,3,fixed_timer,6e-06,peak,fixed_timer
89,west,3,fixed_timer,6e-06,peak,fixed_timer
90,west,3,fixed_timer,6e-06,peak,fixed_timer
91,west,3,fixed_timer,6e-06,peak,fixed_timer
92,west,3,fixed_timer,6e-06,peak,fixed_timer
93,west,3,fixed_timer,6e-06,peak,fixed_timer
94,west,3,fixed_timer,6e-06,peak,fixed_timer
95,west,3,fixed_timer,6e-06,peak,fixed_timer
96,north,3,fixed_timer,6e-06,peak,fixed_timer
97,north,3,fixed_timer,5e-06,peak,fixed_timer
98,north,3,fixed_timer,5e-06,peak,fixed_timer
99,north,3,fixed_timer,6e-06,peak,fixed_timer
100,north,3,fixed_timer,6e-06,peak,fixed_timer
101,north,3,fixed_timer,6e-06,peak,fixed_timer
102,north,3,fixed_timer,6e-06,peak,fixed_timer
103,north,3,fixed_timer,5e-06,peak,fixed_timer
104,east,3,fixed_timer,5e-06,peak,fixed_timer
105,east,3,fixed_timer,5e-06,peak,fixed_timer
106,east,3,fixed_timer,5e-06,peak,fixed_timer
107,east,3,fixed_timer,5e-06,peak,fixed_timer
108,east,3,fixed_timer,6e-06,peak,fixed_timer
109,east,3,fixed_timer,5e-06,peak,fixed_timer
110,east,3,fixed_timer,6e-06,peak,fixed_timer
111,east,3,fixed_timer,5e-06,peak,fixed_timer
112,south,3,fixed_timer,6e-06,peak,fixed_timer
113,south,3,fixed_timer,5e-06,peak,fixed_timer
114,south,3,fixed_timer,5e-06,peak,fixed_timer
115,south,3,fixed_timer,5e-06,peak,fixed_timer
116,south,3,fixed_timer,6e-06,peak,fixed_timer
117,south,3,fixed_timer,5e-06,peak,fixed_timer
118,south,3,fixed_timer,6e-06,peak,fixed_timer
119,south,3,fixed_timer,5e-06,peak,fixed_timer
0,north,3,fixed_timer,1.8e-05,emergency,fixed_timer
1,north,3,fixed_timer,8e-06,emergency,fixed_timer
2,north,3,fixed_timer,6e-06,emergency,fixed_timer
3,north,3,fixed_timer,6e-06,emergency,fixed_timer
4,north,3,fixed_timer,6e-06,emergency,fixed_timer
5,north,3,fixed_timer,6e-06,emergency,fixed_timer
6,north,3,fixed_timer,5e-06,emergency,fixed_timer
7,north,3,fixed_timer,6e-06,emergency,fixed_timer
8,east,3,fixed_timer,6e-06,emergency,fixed_timer
9,east,3,fixed_timer,5e-06,emergency,fixed_timer
10,east,3,fixed_timer,5e-06,emergency,fixed_timer
11,east,3,fixed_timer,5e-06,emergency,fixed_timer
12,east,3,fixed_timer,6e-06,emergency,fixed_timer
13,east,3,fixed_timer,6e-06,emergency,fixed_timer
14,east,3,fixed_timer,5e-06,emergency,fixed_timer
15,east,3,fixed_timer,6e-06,emergency,fixed_timer
16,south,3,fixed_timer,6e-06,emergency,fixed_timer
17,south,3,fixed_timer,6e-06,emergency,fixed_timer
18,south,3,fixed_timer,6e-06,emergency,fixed_timer
19,south,3,fixed_timer,6e-06,emergency,fixed_timer
20,south,3,fixed_timer,5e-06,emergency,fixed_timer
21,south,3,fixed_timer,5e-06,emergency,fixed_timer
22,south,3,fixed_timer,5e-06,emergency,fixed_timer
23,south,3,fixed_timer,6e-06,emergency,fixed_timer
24,west,3,fixed_timer,7e-06,emergency,fixed_timer
25,west,3,fixed_timer,6e-06,emergency,fixed_timer
26,west,3,fixed_timer,6e-06,emergency,fixed_timer
27,west,3,fixed_timer,5e-06,emergency,fixed_timer
28,west,3,fixed_timer,6e-06,emergency,fixed_timer
29,west,3,fixed_timer,5e-06,emergency,fixed_timer
30,west,3,fixed_timer,6e-06,emergency,fixed_timer
31,west,3,fixed_timer,5e-06,emergency,fixed_timer
32,north,3,fixed_timer,5e-06,emergency,fixed_timer
33,north,3,fixed_timer,5e-06,emergency,fixed_timer
34,north,3,fixed_timer,6e-06,emergency,fixed_timer
35,north,3,fixed_timer,5e-06,emergency,fixed_timer
36,north,3,fixed_timer,5e-06,emergency,fixed_timer
37,north,3,fixed_timer,6e-06,emergency,fixed_timer
38,north,3,fixed_timer,5e-06,emergency,fixed_timer
39,north,3,fixed_timer,5e-06,emergency,fixed_timer
40,east,3,fixed_timer,6e-06,emergency,fixed_timer
41,east,3,fixed_timer,5e-06,emergency,fixed_timer
42,east,3,fixed_timer,6e-06,emergency,fixed_timer
43,east,3,fixed_timer,5e-06,emergency,fixed_timer
44,east,3,fixed_timer,5e-06,emergency,fixed_timer
45,east,3,fixed_timer,5e-06,emergency,fixed_timer
46,east,3,fixed_timer,5e-06,emergency,fixed_timer
47,east,3,fixed_timer,5e-06,emergency,fixed_timer
48,south,3,fixed_timer,5e-06,emergency,fixed_timer
49,south,3,fixed_timer,6e-06,emergency,fixed_timer
50,south,3,fixed_timer,6e-06,emergency,fixed_timer
51,south,3,fixed_timer,5e-06,emergency,fixed_timer
52,south,3,fixed_timer,6e-06,emergency,fixed_timer
53,south,3,fixed_timer,5e-06,emergency,fixed_timer
54,south,3,fixed_timer,5e-06,emergency,fixed_timer
55,south,3,fixed_timer,8.1e-05,emergency,fixed_timer
56,west,3,fixed_timer,1e-05,emergency,fixed_timer
57,west,3,fixed_timer,7e-06,emergency,fixed_timer
58,west,3,fixed_timer,1.3e-05,emergency,fixed_timer
59,west,3,fixed_timer,6e-06,emergency,fixed_timer
60,west,3,fixed_timer,6e-06,emergency,fixed_timer
61,west,3,fixed_timer,6e-06,emergency,fixed_timer
62,west,3,fixed_timer,6e-06,emergency,fixed_timer
63,west,3,fixed_timer,5e-06,emergency,fixed_timer
64,north,3,fixed_timer,6e-06,emergency,fixed_timer
65,north,3,fixed_timer,6e-06,emergency,fixed_timer
66,north,3,fixed_timer,6e-06,emergency,fixed_timer
67,north,3,fixed_timer,5e-06,emergency,fixed_timer
68,north,3,fixed_timer,5e-06,emergency,fixed_timer
69,north,3,fixed_timer,5e-06,emergency,fixed_timer
70,north,3,fixed_timer,5e-06,emergency,fixed_timer
71,north,3,fixed_timer,5e-06,emergency,fixed_timer
72,east,3,fixed_timer,6e-06,emergency,fixed_timer
73,east,3,fixed_timer,5e-06,emergency,fixed_timer
74,east,3,fixed_timer,5e-06,emergency,fixed_timer
75,east,3,fixed_timer,5e-06,emergency,fixed_timer
76,east,3,fixed_timer,5e-06,emergency,fixed_timer
77,east,3,fixed_timer,5e-06,emergency,fixed_timer
78,east,3,fixed_timer,6e-06,emergency,fixed_timer
79,east,3,fixed_timer,5e-06,emergency,fixed_timer
80,south,3,fixed_timer,5e-06,emergency,fixed_timer
81,south,3,fixed_timer,5e-06,emergency,fixed_timer
82,south,3,fixed_timer,6e-06,emergency,fixed_timer
83,south,3,fixed_timer,5e-06,emergency,fixed_timer
84,south,3,fixed_timer,5e-06,emergency,fixed_timer
85,south,3,fixed_timer,5e-06,emergency,fixed_timer
86,south,3,fixed_timer,5e-06,emergency,fixed_timer
87,south,3,fixed_timer,6e-06,emergency,fixed_timer
88,west,3,fixed_timer,5e-06,emergency,fixed_timer
89,west,3,fixed_timer,5e-06,emergency,fixed_timer
90,west,3,fixed_timer,5e-06,emergency,fixed_timer
91,west,3,fixed_timer,1.5e-05,emergency,fixed_timer
92,west,3,fixed_timer,6e-06,emergency,fixed_timer
93,west,3,fixed_timer,6e-06,emergency,fixed_timer
94,west,3,fixed_timer,5e-06,emergency,fixed_timer
95,west,3,fixed_timer,5e-06,emergency,fixed_timer
96,north,3,fixed_timer,6e-06,emergency,fixed_timer
97,north,3,fixed_timer,5e-06,emergency,fixed_timer
98,north,3,fixed_timer,5e-06,emergency,fixed_timer
99,north,3,fixed_timer,5e-06,emergency,fixed_timer
100,north,3,fixed_timer,6e-06,emergency,fixed_timer
101,north,3,fixed_timer,6e-06,emergency,fixed_timer
102,north,3,fixed_timer,5e-06,emergency,fixed_timer
103,north,3,fixed_timer,5e-06,emergency,fixed_timer
104,east,3,fixed_timer,5e-06,emergency,fixed_timer
105,east,3,fixed_timer,5e-06,emergency,fixed_timer
106,east,3,fixed_timer,5e-06,emergency,fixed_timer
107,east,3,fixed_timer,5e-06,emergency,fixed_timer
108,east,3,fixed_timer,5e-06,emergency,fixed_timer
109,east,3,fixed_timer,6e-06,emergency,fixed_timer
110,east,3,fixed_timer,6e-06,emergency,fixed_timer
111,east,3,fixed_timer,5e-06,emergency,fixed_timer
112,south,3,fixed_timer,6e-06,emergency,fixed_timer
113,south,3,fixed_timer,5e-06,emergency,fixed_timer
114,south,3,fixed_timer,5e-06,emergency,fixed_timer
115,south,3,fixed_timer,5e-06,emergency,fixed_timer
116,south,3,fixed_timer,5e-06,emergency,fixed_timer
117,south,3,fixed_timer,5e-06,emergency,fixed_timer
118,south,3,fixed_timer,5e-06,emergency,fixed_timer
119,south,3,fixed_timer,5e-06,emergency,fixed_timer
0,north,3,fixed_timer,1.7e-05,accident,fixed_timer
1,north,3,fixed_timer,8e-06,accident,fixed_timer
2,north,3,fixed_timer,6e-06,accident,fixed_timer
3,north,3,fixed_timer,6e-06,accident,fixed_timer
4,north,3,fixed_timer,6e-06,accident,fixed_timer
5,north,3,fixed_timer,6e-06,accident,fixed_timer
6,north,3,fixed_timer,6e-06,accident,fixed_timer
7,north,3,fixed_timer,6e-06,accident,fixed_timer
8,east,3,fixed_timer,6e-06,accident,fixed_timer
9,east,3,fixed_timer,6e-06,accident,fixed_timer
10,east,3,fixed_timer,6e-06,accident,fixed_timer
11,east,3,fixed_timer,6e-06,accident,fixed_timer
12,east,3,fixed_timer,6e-06,accident,fixed_timer
13,east,3,fixed_timer,6e-06,accident,fixed_timer
14,east,3,fixed_timer,6e-06,accident,fixed_timer
15,east,3,fixed_timer,6e-06,accident,fixed_timer
16,south,3,fixed_timer,6e-06,accident,fixed_timer
17,south,3,fixed_timer,6e-06,accident,fixed_timer
18,south,3,fixed_timer,6e-06,accident,fixed_timer
19,south,3,fixed_timer,6e-06,accident,fixed_timer
20,south,3,fixed_timer,6e-06,accident,fixed_timer
21,south,3,fixed_timer,6e-06,accident,fixed_timer
22,south,3,fixed_timer,6e-06,accident,fixed_timer
23,south,3,fixed_timer,6e-06,accident,fixed_timer
24,west,3,fixed_timer,6e-06,accident,fixed_timer
25,west,3,fixed_timer,6e-06,accident,fixed_timer
26,west,3,fixed_timer,6e-06,accident,fixed_timer
27,west,3,fixed_timer,6e-06,accident,fixed_timer
28,west,3,fixed_timer,6e-06,accident,fixed_timer
29,west,3,fixed_timer,6e-06,accident,fixed_timer
30,west,3,fixed_timer,7e-06,accident,fixed_timer
31,west,3,fixed_timer,7e-06,accident,fixed_timer
32,north,3,fixed_timer,6e-06,accident,fixed_timer
33,north,3,fixed_timer,6e-06,accident,fixed_timer
34,north,3,fixed_timer,6e-06,accident,fixed_timer
35,north,3,fixed_timer,6e-06,accident,fixed_timer
36,north,3,fixed_timer,6e-06,accident,fixed_timer
37,north,3,fixed_timer,6e-06,accident,fixed_timer
38,north,3,fixed_timer,6e-06,accident,fixed_timer
39,north,3,fixed_timer,6e-06,accident,fixed_timer
40,east,3,fixed_timer,6e-06,accident,fixed_timer
41,east,3,fixed_timer,6e-06,accident,fixed_timer
42,east,3,fixed_timer,6e-06,accident,fixed_timer
43,east,3,fixed_timer,6e-06,accident,fixed_timer
44,east,3,fixed_timer,6e-06,accident,fixed_timer
45,east,3,fixed_timer,6e-06,accident,fixed_timer
46,east,3,fixed_timer,6e-06,accident,fixed_timer
47,east,3,fixed_timer,6e-06,accident,fixed_timer
48,south,3,fixed_timer,6e-06,accident,fixed_timer
49,south,3,fixed_timer,6e-06,accident,fixed_timer
50,south,3,fixed_timer,6e-06,accident,fixed_timer
51,south,3,fixed_timer,6e-06,accident,fixed_timer
52,south,3,fixed_timer,6e-06,accident,fixed_timer
53,south,3,fixed_timer,6e-06,accident,fixed_timer
54,south,3,fixed_timer,6e-06,accident,fixed_timer
55,south,3,fixed_timer,6e-06,accident,fixed_timer
56,west,3,fixed_timer,6e-06,accident,fixed_timer
57,west,3,fixed_timer,6e-06,accident,fixed_timer
58,west,3,fixed_timer,6e-06,accident,fixed_timer
59,west,3,fixed_timer,6e-06,accident,fixed_timer
60,west,3,fixed_timer,6e-06,accident,fixed_timer
